id,title,release_date,budget,revenue,budget_clean,revenue_clean,release_date_clean,release_year,release_month,budget_missing_flag,revenue_missing_flag,suspicious_flag,financial_status
405775,The Wall,12-05-2017,,1803009.0,,1803009.0,2017-12-05,2017.0,12.0,True,False,True,Revenue Only
30593,Heavy Traffic,1973-08-08,0,1500000.0,,1500000.0,1973-08-08,1973.0,8.0,True,False,True,Revenue Only
425134,How to Be a Latin Lover,04/28/2017,0,26251899.0,,26251899.0,2017-04-28,2017.0,4.0,True,False,True,Revenue Only
347979,Horoscope for Good Luck,2015-07-16,,964206.0,,964206.0,2015-07-16,2015.0,7.0,True,False,True,Revenue Only
330878,"Kidnapping, Caucasian Style",08/21/2014,,179000.0,,179000.0,2014-08-21,2014.0,8.0,True,False,True,Revenue Only
57889,The Best Movie 3-DE,01/19/2011,0,9816332.0,,9816332.0,2011-01-19,2011.0,1.0,True,False,True,Revenue Only
424322,Superbad,2016-10-13,0,263000.0,,263000.0,2016-10-13,2016.0,10.0,True,False,True,Revenue Only
413391,A Few Less Men,2017-03-09,0,123899.0,,123899.0,2017-03-09,2017.0,3.0,True,False,True,Revenue Only
426253,The Lovers,2017-05-05,0,214078.0,,214078.0,2017-05-05,2017.0,5.0,True,False,True,Revenue Only
54474,The Star,05/06/2002,,809000.0,,809000.0,2002-05-06,2002.0,5.0,True,False,True,Revenue Only
39348,Sacco and Vanzetti,2006-04-06,0,31894.0,,31894.0,2006-04-06,2006.0,4.0,True,False,True,Revenue Only
371859,The Death of Louis XIV,2016-11-02,0,17355.0,,17355.0,2016-11-02,2016.0,11.0,True,False,True,Revenue Only
21947,A.P.E.X.,1994-02-01,0,49601.0,,49601.0,1994-02-01,1994.0,2.0,True,False,True,Revenue Only
27046,The Irony of Fate. The Sequel,21-12-2007,0,55635037.0,,55635037.0,2007-12-21,2007.0,12.0,True,False,True,Revenue Only
67958,"SuperManager, or Hack of the Fate",05/19/2011,0,400134.0,,400134.0,2011-05-19,2011.0,5.0,True,False,True,Revenue Only
339403,Baby Driver,2017-06-28,,224511319.0,,224511319.0,2017-06-28,2017.0,6.0,True,False,True,Revenue Only
55888,Ed Gein,17-11-2000,,5708.0,,5708.0,2000-11-17,2000.0,11.0,True,False,True,Revenue Only
424145,Petersburg: Only for Love,09/22/2016,0,243000.0,,243000.0,2016-09-22,2016.0,9.0,True,False,True,Revenue Only
